lake,sampling_timestamp,sample_timestamp,measurement_value,measurement_value_raw,site_name,station_name,depth,value_sign,unit_symbol,method,laboratory,sampling_number,sample_number,rdl,sample_location,sample_type,aluminum_dissolved,aluminum_total_recoverable,calcium_dissolved,calcium_total,copper_dissolved,copper_total_recoverable,lead_dissolved,lead_total_recoverable,nickel_dissolved,nickel_total_recoverable,nitrogen_dissolved,oxygen_biochemical_demand,oxygen_dissolved_percent_saturation,ph,phosphorus_total,phosphorus_total_dissolved,turbidity,vanadium_dissolved,vanadium_total_recoverable
kearl,2007-09-11 12:00:00,2007-09-11 11:00:00,18.3,18.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,2577,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104230,,0.5,'---,,,,18.3,,,,,,,,,,,,,,,,
kearl,2008-09-05 12:15:00,2008-09-05 11:15:00,20.1,20.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,08SWE03960,08SWE02165,0.003,Centre,DISCRETE SAMPLE (GRAB),,,20.1,,,,,,,,,,,,,,,,
kearl,2008-09-05 12:15:00,2008-09-05 11:15:00,17.7,17.7,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),08SWE03960,08SWE02165,,Centre,DISCRETE SAMPLE (GRAB),,,17.7,,,,,,,,,,,,,,,,
kearl,2009-03-17 09:25:00,2009-03-17 08:25:00,27.1,27.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,"ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY",09SWE00382,09SWE00382-01,,Centre,DISCRETE SAMPLE (GRAB),,,27.1,,,,,,,,,,,,,,,,
kearl,2009-08-17 16:15:00,2009-08-17 15:15:00,19.1,19.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,09SWE00811,09SWE00715,0.003,Centre,DISCRETE SAMPLE (GRAB),,,19.1,,,,,,,,,,,,,,,,
kearl,2009-08-17 16:15:00,2009-08-17 15:15:00,19.0,19.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),09SWE00811,09SWE00715,,Centre,DISCRETE SAMPLE (GRAB),,,19.0,,,,,,,,,,,,,,,,
kearl,2009-09-18 12:00:00,2009-09-18 11:00:00,21.3,21.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,Alberta Research Council,104227,,0.1,'---,,,,21.3,,,,,,,,,,,,,,,,
kearl,2009-09-18 12:00:00,2009-09-18 11:00:00,20.0,20.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,3155,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",104227,,0.5,'---,,,,20.0,,,,,,,,,,,,,,,,
kearl,2010-08-31 15:45:00,2010-08-31 14:45:00,21.2,21.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,10SWE01442,10SWE01443,0.003,Centre,DISCRETE SAMPLE (GRAB),,,21.2,,,,,,,,,,,,,,,,
kearl,2010-08-31 15:45:00,2010-08-31 14:45:00,16.6,16.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),10SWE01442,10SWE01443,0.1,Centre,DISCRETE SAMPLE (GRAB),,,16.6,,,,,,,,,,,,,,,,
kearl,2011-09-01 08:30:00,2011-09-01 07:30:00,21.42,21.42,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,11SWE06688,11SWE06689,0.01,Centre,DISCRETE SAMPLE (GRAB),,,21.42,,,,,,,,,,,,,,,,
kearl,2011-09-01 08:30:00,2011-09-01 07:30:00,16.1,16.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),11SWE06688,11SWE06689,0.1,Centre,DISCRETE SAMPLE (GRAB),,,16.1,,,,,,,,,,,,,,,,
kearl,2011-09-10 12:00:00,2011-09-10 11:00:00,17.9,17.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106085,,0.1,'---,,,,17.9,,,,,,,,,,,,,,,,
kearl,2011-09-10 12:00:00,2011-09-10 11:00:00,19.8,19.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,3155,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106085,,0.5,'---,,,,19.8,,,,,,,,,,,,,,,,
kearl,2012-08-26 15:45:00,2012-08-26 14:45:00,22.68,22.68,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,12SWE02081,12SWE02082,0.01,Centre,DISCRETE SAMPLE (GRAB),,,22.68,,,,,,,,,,,,,,,,
kearl,2012-08-26 15:45:00,2012-08-26 14:45:00,20.1,20.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),12SWE02081,12SWE02082,0.1,Centre,DISCRETE SAMPLE (GRAB),,,20.1,,,,,,,,,,,,,,,,
kearl,2012-09-08 12:00:00,2012-09-08 11:00:00,19.8,19.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106088,,0.1,'---,,,,19.8,,,,,,,,,,,,,,,,
kearl,2012-09-08 12:00:00,2012-09-08 11:00:00,19.3,19.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,3155,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106088,,0.5,'---,,,,19.3,,,,,,,,,,,,,,,,
kearl,2013-08-28 13:10:00,2013-08-28 12:10:00,19.82,19.82,KEARL LAKE,KEARL LAKE,,'---,mg/l,482,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,13SWE02340,13SWE02341,0.01,Centre,DISCRETE SAMPLE (GRAB),,,19.82,,,,,,,,,,,,,,,,
kearl,2013-08-28 13:10:00,2013-08-28 12:10:00,18.8,18.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),13SWE02340,13SWE02341,0.1,Centre,DISCRETE SAMPLE (GRAB),,,18.8,,,,,,,,,,,,,,,,
kearl,2013-09-07 12:00:00,2013-09-07 11:00:00,18.9,18.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106968,,0.1,'---,,,,18.9,,,,,,,,,,,,,,,,
kearl,2013-09-07 12:00:00,2013-09-07 11:00:00,20.2,20.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",106968,,0.5,'---,,,,20.2,,,,,,,,,,,,,,,,
kearl,2014-08-18 16:00:00,2014-08-18 15:00:00,17.3,17.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),14SWE02236,14SWE02237,0.03,Centre,SINGLE EUPHOTIC COMPOSITE,,,17.3,,,,,,,,,,,,,,,,
kearl,2014-08-18 16:00:00,2014-08-18 15:00:00,20.56,20.56,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,14SWE02236,14SWE02237,0.005,Centre,SINGLE EUPHOTIC COMPOSITE,,,20.56,,,,,,,,,,,,,,,,
kearl,2014-09-11 12:00:00,2014-09-11 11:00:00,18.5,18.5,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107422,,0.03,'---,,,,18.5,,,,,,,,,,,,,,,,
kearl,2014-09-11 12:00:00,2014-09-11 11:00:00,20.9,20.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,3158,"ALS (FORMERLY ENVIRO-TEST) LABORATORIES, EDMONTON, ALBERTA",107422,,0.5,'---,,,,20.9,,,,,,,,,,,,,,,,
kearl,2015-08-29 07:30:00,2015-08-29 06:30:00,20.2,20.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),15SWE05523,15SWE05524,0.03,Centre,DISCRETE SAMPLE (GRAB),,,20.2,,,,,,,,,,,,,,,,
kearl,2015-08-29 07:30:00,2015-08-29 08:15:00,0.005,0.005,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05523,15SWE05526,0.005,Centre,TRIP BLANK,,,0.005,,,,,,,,,,,,,,,,
kearl,2015-08-29 07:30:00,2015-08-29 06:30:00,21.94,21.94,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05523,15SWE05524,0.005,Centre,DISCRETE SAMPLE (GRAB),,,21.94,,,,,,,,,,,,,,,,
kearl,2015-08-29 07:30:00,2015-08-29 08:00:00,0.005,0.005,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,15SWE05523,15SWE05525,0.005,Centre,FIELD BLANK,,,0.005,,,,,,,,,,,,,,,,
kearl,2016-03-15 12:00:00,2016-03-15 11:00:00,33.1,33.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112630,,0.03,'---,,,,33.1,,,,,,,,,,,,,,,,
kearl,2016-03-15 12:00:00,2016-03-15 11:00:00,38.0,38.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112630,,0.3,'---,,,,38.0,,,,,,,,,,,,,,,,
kearl,2016-07-19 12:00:00,2016-07-19 11:00:00,15.2,15.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112429,,0.03,'---,,,,15.2,,,,,,,,,,,,,,,,
kearl,2016-07-19 12:00:00,2016-07-19 11:00:00,24.0,24.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112429,,0.3,'---,,,,24.0,,,,,,,,,,,,,,,,
kearl,2016-08-26 11:45:00,2016-08-26 10:45:00,24.6,24.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08263,16SWE08264,0.03,Centre,SINGLE EUPHOTIC COMPOSITE,,,24.6,,,,,,,,,,,,,,,,
kearl,2016-08-26 11:45:00,2016-08-26 10:45:00,24.76,24.76,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,16SWE08263,16SWE08264,0.005,Centre,SINGLE EUPHOTIC COMPOSITE,,,24.76,,,,,,,,,,,,,,,,
kearl,2016-09-20 12:00:00,2016-09-20 11:00:00,23.2,23.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112237,,0.03,'---,,,,23.2,,,,,,,,,,,,,,,,
kearl,2016-09-20 12:00:00,2016-09-20 11:00:00,25.0,25.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112237,,0.3,'---,,,,25.0,,,,,,,,,,,,,,,,
kearl,2017-03-13 12:00:00,2017-03-13 11:00:00,43.0,43.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111802,,0.03,'---,,,,43.0,,,,,,,,,,,,,,,,
kearl,2017-03-13 12:00:00,2017-03-13 11:00:00,48.0,48.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111802,,0.3,'---,,,,48.0,,,,,,,,,,,,,,,,
kearl,2017-08-25 07:45:00,2017-08-25 06:45:00,24.4,24.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12773,17SWE12774,0.03,Centre,DISCRETE SAMPLE (GRAB),,,24.4,,,,,,,,,,,,,,,,
kearl,2017-08-25 07:45:00,2017-08-25 06:45:00,26.41,26.41,KEARL LAKE,KEARL LAKE,,'---,mg/l,1516,UNIVERSITY OF ALBERTA - BIOGEOCHEMICAL ANALYTICAL SERVICE LABORATORY,17SWE12773,17SWE12774,0.005,Centre,DISCRETE SAMPLE (GRAB),,,26.41,,,,,,,,,,,,,,,,
kearl,2020-09-18 10:40:00,2020-09-18 09:40:00,17.9,17.9,KEARL LAKE,KEARL LAKE,0.1,'---,mg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE11038,20SWE11039,0.03,Centre,DISCRETE SAMPLE (GRAB),,,17.9,,,,,,,,,,,,,,,,
kearl,2020-09-18 10:40:00,2020-09-18 09:40:00,22.0,22.0,KEARL LAKE,KEARL LAKE,0.1,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",20SWE11038,20SWE11039,0.3,Centre,DISCRETE SAMPLE (GRAB),,,22.0,,,,,,,,,,,,,,,,
kearl,2021-08-18 15:15:00,2021-08-18 14:15:00,23.0,23.0,KEARL LAKE,KEARL LAKE,0.1,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",21SWE04621,21SWE04621-01,0.3,Centre,DISCRETE SAMPLE (GRAB),,,23.0,,,,,,,,,,,,,,,,
kearl,2022-09-16 07:20:00,2022-09-16 06:20:00,22.0,22.0,KEARL LAKE,KEARL LAKE,0.1,'---,mg/l,1516,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",22SWE04634,22SWE04634-01,0.3,Centre,DISCRETE SAMPLE (GRAB),,,22.0,,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,38.6,38.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104242,,0.1,'---,,,,,38.6,,,,,,,,,,,,,,,
kearl,2004-07-26 12:00:00,2004-07-26 11:00:00,17.6,17.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104239,,0.1,'---,,,,,17.6,,,,,,,,,,,,,,,
kearl,2004-08-24 15:05:00,2004-08-24 14:05:00,18.1,18.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),04SWE02174,04SWE02174,,Centre,SINGLE EUPHOTIC COMPOSITE,,,,18.1,,,,,,,,,,,,,,,
kearl,2005-07-22 12:00:00,2005-07-22 11:00:00,15.4,15.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104236,,0.1,'---,,,,,15.4,,,,,,,,,,,,,,,
kearl,2005-08-30 08:55:00,2005-08-30 07:55:00,15.2,15.2,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),05SWE03024,05SWE03025,,Centre,DISCRETE SAMPLE (GRAB),,,,15.2,,,,,,,,,,,,,,,
kearl,2006-08-23 12:00:00,2006-08-23 11:00:00,16.7,16.7,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),06SWE03220,06SWE01907,,Centre,DISCRETE SAMPLE (GRAB),,,,16.7,,,,,,,,,,,,,,,
kearl,2006-09-14 12:00:00,2006-09-14 11:00:00,18.8,18.8,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104233,,0.1,'---,,,,,18.8,,,,,,,,,,,,,,,
kearl,2007-08-23 09:45:00,2007-08-23 08:45:00,18.4,18.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),07SWE02704,07SWE02704,,Centre,SINGLE EUPHOTIC COMPOSITE,,,,18.4,,,,,,,,,,,,,,,
kearl,2007-09-11 12:00:00,2007-09-11 11:00:00,18.5,18.5,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104230,,0.1,'---,,,,,18.5,,,,,,,,,,,,,,,
kearl,2008-09-05 12:15:00,2008-09-05 11:15:00,18.9,18.9,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),08SWE03960,08SWE02165,,Centre,DISCRETE SAMPLE (GRAB),,,,18.9,,,,,,,,,,,,,,,
kearl,2009-03-17 09:25:00,2009-03-17 08:25:00,28.4,28.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,"ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY",09SWE00382,09SWE00382-01,,Centre,DISCRETE SAMPLE (GRAB),,,,28.4,,,,,,,,,,,,,,,
kearl,2009-03-17 09:25:00,2009-03-17 08:25:00,30.6,30.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1848,"ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY",09SWE00382,09SWE00382-01,,Centre,DISCRETE SAMPLE (GRAB),,,,30.6,,,,,,,,,,,,,,,
kearl,2009-08-17 16:15:00,2009-08-17 15:15:00,19.3,19.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),09SWE00811,09SWE00715,,Centre,DISCRETE SAMPLE (GRAB),,,,19.3,,,,,,,,,,,,,,,
kearl,2009-09-18 12:00:00,2009-09-18 11:00:00,22.0,22.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,Alberta Research Council,104227,,0.1,'---,,,,,22.0,,,,,,,,,,,,,,,
kearl,2010-08-31 15:45:00,2010-08-31 14:45:00,17.5,17.5,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),10SWE01442,10SWE01443,0.1,Centre,DISCRETE SAMPLE (GRAB),,,,17.5,,,,,,,,,,,,,,,
kearl,2011-09-01 08:30:00,2011-09-01 07:30:00,18.7,18.7,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),11SWE06688,11SWE06689,0.1,Centre,DISCRETE SAMPLE (GRAB),,,,18.7,,,,,,,,,,,,,,,
kearl,2011-09-10 12:00:00,2011-09-10 11:00:00,19.6,19.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106085,,0.1,'---,,,,,19.6,,,,,,,,,,,,,,,
kearl,2012-08-26 15:45:00,2012-08-26 14:45:00,20.4,20.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),12SWE02081,12SWE02082,0.1,Centre,DISCRETE SAMPLE (GRAB),,,,20.4,,,,,,,,,,,,,,,
kearl,2012-09-08 12:00:00,2012-09-08 11:00:00,20.5,20.5,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106088,,0.1,'---,,,,,20.5,,,,,,,,,,,,,,,
kearl,2013-08-28 13:10:00,2013-08-28 12:10:00,19.1,19.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),13SWE02340,13SWE02341,0.1,Centre,DISCRETE SAMPLE (GRAB),,,,19.1,,,,,,,,,,,,,,,
kearl,2013-09-07 12:00:00,2013-09-07 11:00:00,19.4,19.4,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),106968,,0.1,'---,,,,,19.4,,,,,,,,,,,,,,,
kearl,2014-08-18 16:00:00,2014-08-18 15:00:00,19.0,19.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),14SWE02236,14SWE02237,0.01,Centre,SINGLE EUPHOTIC COMPOSITE,,,,19.0,,,,,,,,,,,,,,,
kearl,2014-09-11 12:00:00,2014-09-11 11:00:00,20.1,20.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),107422,,0.01,'---,,,,,20.1,,,,,,,,,,,,,,,
kearl,2015-08-29 07:30:00,2015-08-29 06:30:00,21.1,21.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),15SWE05523,15SWE05524,0.01,Centre,DISCRETE SAMPLE (GRAB),,,,21.1,,,,,,,,,,,,,,,
kearl,2016-03-15 12:00:00,2016-03-15 11:00:00,33.1,33.1,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112630,,0.01,'---,,,,,33.1,,,,,,,,,,,,,,,
kearl,2016-03-15 12:00:00,2016-03-15 11:00:00,39.0,39.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112630,,0.3,'---,,,,,39.0,,,,,,,,,,,,,,,
kearl,2016-07-19 12:00:00,2016-07-19 11:00:00,15.3,15.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112429,,0.01,'---,,,,,15.3,,,,,,,,,,,,,,,
kearl,2016-07-19 12:00:00,2016-07-19 11:00:00,23.0,23.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112429,,0.3,'---,,,,,23.0,,,,,,,,,,,,,,,
kearl,2016-08-26 11:45:00,2016-08-26 10:45:00,24.7,24.7,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08263,16SWE08264,0.01,Centre,SINGLE EUPHOTIC COMPOSITE,,,,24.7,,,,,,,,,,,,,,,
kearl,2016-09-20 12:00:00,2016-09-20 11:00:00,23.6,23.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),112237,,0.01,'---,,,,,23.6,,,,,,,,,,,,,,,
kearl,2016-09-20 12:00:00,2016-09-20 11:00:00,24.0,24.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",112237,,0.3,'---,,,,,24.0,,,,,,,,,,,,,,,
kearl,2017-03-13 12:00:00,2017-03-13 11:00:00,43.6,43.6,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),111802,,0.01,'---,,,,,43.6,,,,,,,,,,,,,,,
kearl,2017-03-13 12:00:00,2017-03-13 11:00:00,47.0,47.0,KEARL LAKE,KEARL LAKE,,'---,mg/l,440,"MAXXAM (CHEMEX) LABS ALBERTA INC., CALGARY, ALBERTA.",111802,,0.3,'---,,,,,47.0,,,,,,,,,,,,,,,
kearl,2017-08-25 07:45:00,2017-08-25 06:45:00,24.3,24.3,KEARL LAKE,KEARL LAKE,,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12773,17SWE12774,0.01,Centre,DISCRETE SAMPLE (GRAB),,,,24.3,,,,,,,,,,,,,,,
kearl,2020-09-18 10:40:00,2020-09-18 09:40:00,18.4,18.4,KEARL LAKE,KEARL LAKE,0.1,'---,mg/l,1847,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE11038,20SWE11039,0.01,Centre,DISCRETE SAMPLE (GRAB),,,,18.4,,,,,,,,,,,,,,,
kearl,2003-03-24 12:00:00,2003-03-24 12:00:00,5.4,5.4,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104242,,0.0001,'---,,,,,,5.4,,,,,,,,,,,,,,
kearl,2004-07-26 12:00:00,2004-07-26 11:00:00,0.17,0.17,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104239,,0.0001,'---,,,,,,0.17,,,,,,,,,,,,,,
kearl,2004-08-24 15:05:00,2004-08-24 14:05:00,0.118,0.118,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),04SWE02174,04SWE02174,,Centre,SINGLE EUPHOTIC COMPOSITE,,,,,0.118,,,,,,,,,,,,,,
kearl,2005-07-22 12:00:00,2005-07-22 11:00:00,0.05,0.1,KEARL LAKE,KEARL LAKE,,<,µg/l,1849,Alberta Research Council,104236,,0.0001,'---,,,,,,0.1,,,,,,,,,,,,,,
kearl,2006-09-14 12:00:00,2006-09-14 11:00:00,0.234,0.234,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104233,,0.0001,'---,,,,,,0.234,,,,,,,,,,,,,,
kearl,2007-08-23 09:45:00,2007-08-23 08:45:00,0.13,0.13,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),07SWE02704,07SWE02704,,Centre,SINGLE EUPHOTIC COMPOSITE,,,,,0.13,,,,,,,,,,,,,,
kearl,2007-09-11 12:00:00,2007-09-11 11:00:00,0.16,0.16,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,Alberta Research Council,104230,,0.0001,'---,,,,,,0.16,,,,,,,,,,,,,,
kearl,2008-09-05 12:15:00,2008-09-05 11:15:00,0.24,0.24,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),08SWE03960,08SWE02165,,Centre,DISCRETE SAMPLE (GRAB),,,,,0.24,,,,,,,,,,,,,,
kearl,2009-03-17 09:25:00,2009-03-17 08:25:00,0.316,0.316,KEARL LAKE,KEARL LAKE,,'---,µg/l,1849,"ALBERTA RESEARCH COUNCIL, INORGANIC ANALYSIS LABORATORY",09SWE00382,09SWE00382-01,,Centre,DISCRETE SAMPLE (GRAB),,,,,0.316,,,,,,,,,,,,,,
